,movie,year,imdb,metascore,votes,gross (usd),n_imdb
0,Inception,2010,8.8,74,1824334,292576195,88.0
1,The Dark Knight Rises,2012,8.4,78,1377079,448139099,84.0
2,Interstellar,2014,8.6,74,1283630,188020017,86.0
3,Django Unchained,2012,8.4,81,1200384,162805434,84.0
4,The Avengers,2012,8.1,69,1170334,623357910,81.0
5,The Wolf of Wall Street,2013,8.2,75,1025782,116900694,82.0
6,Shutter Island,2010,8.1,63,997552,128012934,81.0
7,Guardians of the Galaxy,2014,8.1,76,934121,333176600,81.0
8,Deadpool,2016,8.0,65,812240,363070709,80.0
9,The Hunger Games,2012,7.2,68,792105,408010692,72.0
10,Star Wars: Episode VII - The Force Awakens,2015,8.0,81,779943,936662225,80.0
11,Mad Max: Fury Road,2015,8.1,90,773676,154058340,81.0
12,Gone Girl,2014,8.1,79,755607,167767189,81.0
13,The Hobbit: An Unexpected Journey,2012,7.9,58,717095,303003568,79.0
14,Gravity,2013,7.7,96,705289,274092705,77.0
15,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,686720,381011219,81.0
16,Iron Man 3,2013,7.2,62,683352,409013994,72.0
17,Toy Story 3,2010,8.3,92,675764,415004880,83.0
18,Thor,2011,7.0,57,673496,181030624,70.0
19,The Martian,2015,8.0,80,673481,228433663,80.0
20,The Intouchables,2011,8.5,57,669562,13182281,85.0
21,Captain America: The First Avenger,2011,6.9,66,656551,176654505,69.0
22,Captain America: The Winter Soldier,2014,7.8,70,655580,259766572,78.0
23,Avengers: Age of Ultron,2015,7.3,66,651275,459005868,73.0
24,Iron Man 2,2010,7.0,57,648557,312433331,70.0
25,Black Swan,2010,8.0,79,645375,106954678,80.0
26,Man of Steel,2013,7.1,55,643559,291045518,71.0
27,Avengers: Infinity War,2018,8.5,68,639859,678815482,85.0
28,The Grand Budapest Hotel,2014,8.1,88,629193,59100318,81.0
29,Silver Linings Playbook,2012,7.7,81,618672,132092958,77.0
30,The Imitation Game,2014,8.0,73,615511,91125683,80.0
31,X-Men: Days of Future Past,2014,8.0,75,614843,233921534,80.0
32,The Revenant,2015,8.0,76,614583,183637894,80.0
33,Whiplash,2014,8.5,88,608743,13092000,85.0
34,How to Train Your Dragon,2010,8.1,74,606355,217581231,81.0
35,X-Men: First Class,2011,7.7,65,604470,146408305,77.0
36,The King's Speech,2010,8.0,88,590569,138797449,80.0
37,Skyfall,2012,7.8,81,589925,304360277,78.0
38,12 Years a Slave,2013,8.1,96,573324,56671993,81.0
39,The Hunger Games: Catching Fire,2013,7.5,76,572752,424668047,75.0
40,Batman v Superman: Dawn of Justice,2016,6.5,44,572450,330360194,65.0
41,Captain America: Civil War,2016,7.8,75,570026,408084349,78.0
42,The Social Network,2010,7.7,95,565899,96962694,77.0
43,The Hobbit: The Desolation of Smaug,2013,7.8,66,562862,258366855,78.0
44,Logan,2017,8.1,77,550237,226277068,81.0
45,World War Z,2013,7.0,63,550231,202359711,70.0
46,Now You See Me,2013,7.3,50,550071,117723989,73.0
47,Edge of Tomorrow,2014,7.9,71,542548,100206256,79.0
48,Kingsman: The Secret Service,2014,7.7,60,539913,128261724,77.0
49,Prometheus,2012,7.0,64,536639,126477084,70.0
50,Ted,2012,6.9,62,535998,218815487,69.0
51,Jurassic World,2015,7.0,59,535631,652270625,70.0
52,Thor: The Dark World,2013,6.9,54,533346,206362140,69.0
53,Argo,2012,7.7,86,532286,136025503,77.0
54,Life of Pi,2012,7.9,79,532118,124987023,79.0
55,Inside Out,2015,8.2,94,530533,356461711,82.0
56,Suicide Squad,2016,6.1,40,527909,325100054,61.0
57,The Amazing Spider-Man,2012,7.0,66,522123,262030663,70.0
58,Prisoners,2013,8.1,74,521997,61002302,81.0
59,Drive,2011,7.8,78,518728,35060689,78.0
60,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,515283,42340598,77.0
61,Frozen,2013,7.5,74,513562,400738009,75.0
62,Arrival,2016,7.9,81,508657,100546139,79.0
63,Doctor Strange,2016,7.5,72,502414,232641920,75.0
64,Black Panther,2018,7.3,88,500680,700059566,73.0
65,Looper,2012,7.4,84,498215,66486205,74.0
66,Kick-Ass,2010,7.6,66,495001,48071303,76.0
67,Ant-Man,2015,7.3,64,491127,180202163,73.0
68,Limitless,2011,7.4,59,489755,79249455,74.0
69,Wonder Woman,2017,7.5,76,480297,412563408,75.0
70,21 Jump Street,2012,7.2,69,475332,138447667,72.0
71,Rogue One: A Star Wars Story,2016,7.8,65,473028,532177324,78.0
